treatment days fluor
Control d10 143
Control d10 169
Control d10 95
Control d10 111
Control d10 132
Control d10 150
Control d12 179
Control d12 160
Control d12 87
Control d12 115
Control d12 171
Control d12 146
Control d14 76
Control d14 40
Control d14 119
Control d14 72
Control d14 163
Control d14 78
Exposed d10 152
Exposed d10 83
Exposed d10 91
Exposed d10 86
Exposed d10 150
Exposed d10 108
Exposed d12 141
Exposed d12 132
Exposed d12 201
Exposed d12 242
Exposed d12 209
Exposed d12 114
Exposed d14 119
Exposed d14 104
Exposed d14 125
Exposed d14 147
Exposed d14 200
Exposed d14 178
