"PERS01" "PERS02" "PERS03" "PERS04" "PERS05" "PERS06" "PERS07" "PERS08" "PERS09" "PERS10" "PERS11" "PERS12" "PERS13" "PERS14" "PERS15" "PERS16" "PERS17" "PERS18" "PERS19" "PERS20" "PERS21" "PERS22" "PERS23" "PERS24" "PERS25" "PERS26" "PERS27" "PERS28" "PERS29" "PERS30" "PERS31" "PERS32" "PERS33" "PERS34" "PERS35" "PES36" "PERS37" "PERS38" "PERS39" "PERS40" "PERS41" "PERS42" "PERS43" "PERS44"
"1" 5 4 5 1 4 3 3 1 2 3 2 4 5 4 4 3 5 1 3 4 2 4 2 3 2 5 4 5 4 2 5 4 5 3 1 3 4 4 4 3 3 3 5 4
"2" 1 1 5 2 1 2 5 1 5 1 5 3 5 4 1 2 1 3 5 1 5 5 1 3 1 2 3 5 3 3 5 5 5 5 5 3 1 1 2 3 3 5 2 1
"3" 4 1 5 3 3 4 5 3 1 4 2 1 5 4 3 2 5 1 5 4 4 4 3 2 4 1 3 4 5 4 3 3 5 5 4 2 3 1 5 4 2 3 5 3
"4" 4 2 5 1 4 3 4 4 4 5 4 1 4 5 3 3 4 2 5 4 4 4 3 2 4 2 1 5 3 4 4 4 4 4 3 3 3 4 5 5 3 5 2 4
"5" 2 3 5 1 2 4 5 2 3 3 4 2 5 3 3 3 5 1 4 2 5 5 1 3 2 2 4 4 4 3 4 4 5 4 4 2 5 5 4 3 2 4 3 2
"6" 1 1 5 4 3 4 4 2 1 4 3 3 5 5 3 2 4 1 5 3 5 4 1 3 3 1 2 5 5 4 5 3 4 2 3 1 1 3 5 4 2 4 3 5
"7" 3 2 5 1 2 1 1 2 5 4 4 1 5 1 1 4 5 5 1 3 2 5 1 4 2 1 1 5 1 2 1 5 4 5 5 5 2 5 1 1 4 5 1 1
"8" 5 2 4 2 4 1 4 3 3 5 4 1 4 3 2 4 4 4 2 5 2 4 3 3 1 1 3 4 3 3 2 5 4 4 2 4 2 4 2 3 2 5 4 4
"9" 5 1 4 3 2 1 4 4 2 3 4 1 4 4 2 5 5 5 4 4 2 5 2 4 2 4 4 4 3 5 2 5 4 2 4 5 1 2 4 3 2 5 4 2
"10" 4 1 5 1 4 3 4 1 5 4 5 1 5 3 4 4 4 1 1 5 2 4 1 5 3 4 1 5 4 2 4 5 5 3 1 4 1 2 2 3 5 5 3 1
"11" 5 3 5 1 3 1 4 2 4 5 3 1 3 3 3 4 5 4 1 4 1 4 2 3 5 5 4 3 3 4 4 3 3 3 4 5 3 5 3 4 1 4 3 4
"12" 4 2 3 2 2 3 4 3 4 5 5 4 4 2 3 4 4 4 2 3 3 4 4 4 3 4 2 3 4 NA NA NA NA 4 4 4 3 3 5 4 3 4 3 2
"13" 4 4 4 5 2 3 5 5 2 4 2 4 4 4 4 3 5 2 5 3 4 5 2 1 3 1 1 4 5 3 5 5 3 2 4 4 4 4 5 4 3 5 4 3
"14" 4 5 5 3 3 4 4 1 3 4 4 1 5 3 3 3 4 1 4 5 4 5 1 2 4 1 1 5 2 3 4 3 5 2 1 4 1 5 4 5 2 4 4 3
"15" 5 5 5 4 4 2 4 4 5 4 4 1 5 1 5 5 5 1 2 5 4 5 1 2 4 5 5 5 5 3 5 3 4 5 1 5 5 3 3 4 3 5 1 3
"16" 4 4 5 2 4 4 4 1 2 4 4 4 5 4 4 4 4 3 4 4 4 2 3 3 4 3 1 4 4 3 4 5 5 4 1 4 3 3 3 4 3 5 4 3
"17" 4 2 2 3 3 4 4 2 1 2 2 1 5 2 1 4 4 1 5 5 3 3 1 1 3 2 2 2 1 3 4 5 5 3 1 4 3 2 5 2 3 4 4 3
"18" 4 1 4 4 4 1 4 3 4 4 2 1 4 3 5 3 4 2 2 1 1 2 4 4 4 3 1 2 4 2 2 4 4 4 4 4 4 2 2 3 3 4 2 4
"19" 4 2 5 2 3 2 1 3 4 5 5 2 5 3 3 4 4 2 4 2 3 4 2 2 4 3 1 4 3 4 4 4 3 3 2 4 3 4 4 4 2 4 2 3
"20" 2 4 5 4 3 4 4 3 2 5 2 1 4 4 3 3 4 2 5 3 4 3 3 1 4 1 3 3 4 5 4 4 4 2 4 4 1 3 4 4 1 4 3 4
"21" 1 3 5 5 3 5 4 1 5 5 5 4 5 1 3 3 4 1 1 3 5 5 3 5 3 3 3 4 5 4 5 4 4 5 1 1 1 4 1 4 1 5 3 3
"22" 1 5 3 5 1 5 2 4 1 4 4 5 3 5 4 3 5 5 1 1 5 1 5 2 4 5 5 1 5 4 3 2 5 5 4 3 5 3 5 2 5 1 5 2
"23" 1 2 5 3 4 2 5 1 4 2 3 5 4 1 4 3 5 5 4 3 2 5 1 5 3 3 5 5 1 4 4 5 4 5 4 4 1 5 3 3 3 5 1 5
"24" 3 2 4 1 4 3 5 2 3 3 3 1 5 4 4 3 3 1 4 4 5 5 1 3 3 3 3 5 4 3 5 5 4 4 4 3 3 3 4 3 4 4 2 1
"25" 4 3 4 3 5 2 4 4 5 5 4 4 4 1 5 5 3 1 1 5 1 2 3 5 5 5 1 2 5 5 5 4 5 5 1 3 2 4 2 3 1 3 5 3
"26" 3 4 5 5 5 5 5 1 2 5 4 1 5 5 5 5 3 1 5 4 5 5 2 1 4 4 4 5 4 5 5 5 5 1 5 4 3 5 5 4 2 5 5 5
"27" 5 3 4 1 5 2 3 2 2 5 5 3 2 3 3 4 5 4 4 5 1 3 4 3 4 4 3 4 4 5 4 3 3 4 1 3 3 4 1 5 1 4 5 4
"28" 5 4 4 2 3 4 4 2 3 3 4 1 5 2 2 3 5 4 5 5 3 4 1 5 3 2 3 5 4 4 4 4 3 5 2 5 1 4 1 3 3 5 3 1
"29" 2 2 4 1 4 4 4 1 2 3 4 1 4 4 4 3 4 1 4 4 4 4 1 3 4 2 1 4 1 4 2 4 4 3 4 2 1 4 3 3 1 4 2 4
"30" 1 4 3 4 2 5 4 4 4 3 5 4 1 5 3 4 3 4 4 3 5 4 4 4 4 3 2 1 3 2 4 4 4 2 2 2 3 2 4 3 4 2 4 3
"31" 2 4 4 1 1 1 5 4 4 5 5 1 5 4 5 5 4 1 4 4 4 4 1 4 1 5 4 2 1 3 1 2 5 4 4 2 4 4 4 4 5 4 5 3
"32" 5 3 5 4 3 3 3 2 1 4 1 2 5 5 5 3 3 2 5 3 3 5 4 3 3 4 4 3 5 3 3 4 4 3 3 4 3 4 4 3 3 4 2 3
"33" 5 4 5 1 5 4 4 2 3 4 4 4 5 4 5 5 2 2 3 5 3 5 3 4 4 4 4 4 5 3 4 5 4 2 5 4 3 5 4 5 3 4 3 4
"34" 1 1 4 2 3 4 4 1 4 4 4 3 2 3 2 4 4 3 2 1 2 3 3 1 4 2 3 4 5 2 5 4 3 5 4 4 1 2 4 1 2 3 2 3
"35" 4 4 5 4 4 3 5 2 5 5 5 1 5 4 5 5 5 1 5 5 4 5 1 2 4 3 1 5 4 4 4 5 5 5 2 5 2 4 4 5 1 5 4 5
"36" 4 3 5 5 2 3 3 1 1 4 1 3 5 5 3 3 4 2 5 1 4 5 3 1 1 3 3 2 5 3 4 3 4 1 5 1 3 2 5 3 2 3 2 3
"37" 1 1 4 3 4 3 4 1 4 3 3 4 4 1 4 4 4 4 4 3 4 4 2 4 2 3 3 4 1 4 3 3 2 3 4 4 3 4 3 3 2 4 2 4
"38" 5 3 4 4 3 2 4 2 2 5 3 5 5 4 3 2 3 2 5 3 2 4 2 1 3 3 2 4 5 3 3 5 5 3 2 3 4 3 5 4 3 4 3 3
"39" 5 4 4 3 2 3 3 2 1 3 2 3 4 4 4 4 2 2 5 3 2 3 3 2 2 2 3 3 4 3 3 3 4 1 4 4 2 3 3 3 2 4 3 3
"40" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" 3 2 4 1 1 1 2 2 4 5 5 1 1 2 5 4 5 1 3 5 3 3 2 3 3 5 4 3 3 5 4 4 4 4 5 4 4 3 2 4 2 3 3 4
"42" 3 4 5 2 4 5 3 3 4 4 4 1 5 5 5 4 4 2 4 4 5 5 3 5 5 4 5 5 4 1 2 3 4 5 2 3 1 3 1 5 4 4 4 1
"43" 2 2 5 2 3 5 3 2 3 3 3 1 4 3 3 2 4 3 4 4 5 5 2 3 3 1 4 3 3 4 4 3 3 4 2 2 2 2 4 4 1 4 4 5
"44" 4 4 3 2 4 4 4 4 3 4 3 1 4 4 3 3 4 4 4 3 4 4 4 2 4 2 4 4 4 4 4 4 4 3 1 4 4 3 3 4 2 4 5 3
"45" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 2 2 4 4 3 4 4 2 4 4 2 4 5 4 3 4 2 5 4
"46" 5 3 5 1 5 1 4 1 4 5 4 2 5 2 4 5 4 1 1 5 1 5 1 5 5 4 3 4 3 3 1 4 5 4 1 4 2 5 1 4 3 4 1 1
"47" 5 3 4 3 4 3 4 4 1 4 5 3 5 5 4 4 5 5 5 5 1 5 3 4 4 4 1 4 4 4 4 5 5 4 3 4 2 4 4 4 4 4 3 3
"48" 5 4 5 1 5 1 3 4 5 4 4 1 5 2 5 5 5 4 1 5 1 4 5 4 4 5 2 3 2 3 1 4 5 5 4 5 2 4 1 4 3 4 2 2
"49" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" 5 3 5 1 3 1 4 1 4 4 4 3 5 4 2 5 2 2 2 4 1 5 2 2 1 5 1 3 3 1 2 5 4 5 3 5 2 5 4 1 1 5 3 1
"51" 5 3 5 4 4 2 4 2 2 5 2 2 5 4 4 2 5 1 3 4 1 4 4 2 4 3 1 5 3 5 1 4 5 2 3 4 3 5 2 2 2 4 4 2
"52" 5 4 3 2 4 2 4 4 3 4 4 4 4 4 3 5 4 4 4 4 1 4 2 2 4 NA NA NA NA 2 2 4 4 4 4 3 4 4 5 4 4 4 4 3
"53" 5 4 4 1 4 1 4 1 3 3 5 1 5 4 4 4 4 4 3 4 1 5 3 5 3 4 1 3 3 3 2 4 4 3 2 5 1 4 1 4 3 5 2 3
"54" 4 1 4 1 5 4 4 2 5 5 4 1 5 1 5 4 4 1 1 4 4 5 2 5 5 4 1 5 1 5 4 5 5 5 4 4 1 4 2 4 2 5 1 3
"55" 4 5 5 1 5 1 5 1 4 5 4 2 5 3 4 3 2 2 2 4 3 5 2 5 5 4 1 5 2 4 1 5 5 4 3 4 1 4 1 5 1 4 2 4
"56" 1 1 4 4 4 2 4 3 4 4 2 4 4 2 4 4 3 4 4 2 2 5 4 5 2 4 2 4 2 5 2 1 4 4 4 4 2 5 3 5 3 3 3 4
"57" 3 3 5 3 5 3 4 2 2 5 4 1 5 3 3 4 4 4 4 5 4 4 1 3 4 4 1 5 4 4 3 4 4 3 3 2 1 4 2 5 3 5 3 1
"58" 3 2 4 1 4 1 4 4 1 1 4 2 5 4 4 2 4 5 1 4 2 4 2 3 4 3 NA NA NA NA 4 4 4 2 4 3 3 5 4 2 1 1 3 2
"59" 3 4 4 5 2 4 4 4 4 4 2 4 4 3 3 2 4 1 2 3 4 3 4 4 2 3 4 3 5 4 5 4 4 4 4 3 3 3 4 4 2 4 3 3
"60" 1 5 1 1 4 5 1 2 1 4 5 1 5 5 1 4 4 2 3 4 5 5 1 3 5 3 3 5 5 5 1 5 4 4 4 5 1 5 5 4 2 5 3 5
"61" 3 3 4 1 3 3 4 1 4 4 2 1 5 3 3 3 4 2 3 4 3 4 3 4 3 2 3 3 4 2 3 3 4 3 3 3 2 4 3 3 3 4 3 2
"62" 5 4 5 2 5 3 4 1 1 5 5 3 5 5 4 4 4 2 4 5 2 4 1 4 4 4 2 4 4 5 4 4 5 2 2 4 4 4 3 4 2 4 1 5
"63" 3 4 5 3 4 4 3 1 1 5 4 4 3 4 5 4 2 3 4 5 5 5 3 2 5 5 4 4 3 5 2 2 4 3 3 3 4 4 5 4 1 3 5 5
"64" 1 1 5 4 3 5 5 4 4 1 2 1 5 4 4 1 5 5 4 2 5 5 4 4 1 2 5 5 5 5 5 5 5 4 5 2 1 5 5 4 5 4 4 4
"65" 5 3 4 4 4 3 5 4 2 3 5 3 4 5 4 3 1 3 4 4 1 5 2 2 4 4 5 4 4 1 1 5 4 1 3 5 3 4 5 4 5 5 4 5
