preparation standing helpfulness
PRACTICE LOW              6
PRACTICE LOW              7
PRACTICE LOW              7
PRACTICE LOW              5
PRACTICE LOW              3
PRACTICE LOW              3
PRACTICE LOW              8
PRACTICE LOW              8
PRACTICE LOW              7
PRACTICE LOW              7
PRACTICE LOW              5
PRACTICE LOW              6
PRACTICE LOW              5
PRACTICE LOW              3
PRACTICE LOW              7
PRACTICE LOW              6
PRACTICE LOW              7
PRACTICE LOW              5
PRACTICE LOW              6
PRACTICE LOW              5
PRACTICE LOW              3
PRACTICE LOW              6
PRACTICE MED              2
PRACTICE MED              4
PRACTICE MED              7
PRACTICE MED              3
PRACTICE MED              5
PRACTICE MED              5
PRACTICE MED              4
PRACTICE MED              5
PRACTICE MED              6
PRACTICE MED              2
PRACTICE MED              7
PRACTICE MED              4
PRACTICE MED              5
PRACTICE MED              6
PRACTICE MED              8
PRACTICE MED              9
PRACTICE MED              4
PRACTICE MED              6
PRACTICE MED              1
PRACTICE MED              0
PRACTICE MED              2
PRACTICE MED              1
PRACTICE HI               5
PRACTICE HI               6
PRACTICE HI               3
PRACTICE HI               5
PRACTICE HI               7
PRACTICE HI               6
PRACTICE HI               5
PRACTICE HI               7
PRACTICE HI               2
PRACTICE HI              10
PRACTICE HI               4
PRACTICE HI               5
PRACTICE HI               6
PRACTICE HI               4
PRACTICE HI               6
PRACTICE HI               8
PRACTICE HI               7
PRACTICE HI               9
PRACTICE HI               8
PRACTICE HI               6
PRACTICE HI               5
PRACTICE HI               5
REVIEW   LOW              3
REVIEW   LOW              4
REVIEW   LOW              7
REVIEW   LOW              3
REVIEW   LOW              3
REVIEW   LOW              6
REVIEW   LOW              2
REVIEW   LOW              2
REVIEW   LOW              2
REVIEW   LOW              4
REVIEW   LOW              4
REVIEW   LOW              6
REVIEW   LOW              4
REVIEW   LOW              5
REVIEW   LOW              6
REVIEW   LOW              8
REVIEW   LOW              4
REVIEW   LOW              3
REVIEW   LOW              2
REVIEW   LOW              4
REVIEW   LOW              4
REVIEW   LOW              5
REVIEW   MED              2
REVIEW   MED              4
REVIEW   MED              0
REVIEW   MED              4
REVIEW   MED              4
REVIEW   MED              9
REVIEW   MED              2
REVIEW   MED              6
REVIEW   MED              2
REVIEW   MED              7
REVIEW   MED              3
REVIEW   MED              2
REVIEW   MED              9
REVIEW   MED              3
REVIEW   MED              5
REVIEW   MED              3
REVIEW   MED              3
REVIEW   MED              1
REVIEW   MED              2
REVIEW   MED              5
REVIEW   MED              5
REVIEW   MED              6
REVIEW   HI               7
REVIEW   HI               4
REVIEW   HI               2
REVIEW   HI               5
REVIEW   HI               2
REVIEW   HI               5
REVIEW   HI               4
REVIEW   HI               6
REVIEW   HI               2
REVIEW   HI               5
REVIEW   HI               6
REVIEW   HI               4
REVIEW   HI               4
REVIEW   HI               4
REVIEW   HI               4
REVIEW   HI               0
REVIEW   HI               4
REVIEW   HI               5
REVIEW   HI               2
REVIEW   HI               5
REVIEW   HI               4
REVIEW   HI               3
