"Year" "temperature"
"1" 1880-12-31 13.72
"2" 1881-12-31 13.79
"3" 1882-12-31 13.74
"4" 1883-12-31 13.73
"5" 1884-12-31 13.68
"6" 1885-12-31 13.68
"7" 1886-12-31 13.71
"8" 1887-12-31 13.65
"9" 1888-12-31 13.73
"10" 1889-12-31 13.83
"11" 1890-12-31 13.61
"12" 1891-12-31 13.73
"13" 1892-12-31 13.68
"14" 1893-12-31 13.67
"15" 1894-12-31 13.67
"16" 1895-12-31 13.75
"17" 1896-12-31 13.86
"18" 1897-12-31 13.89
"19" 1898-12-31 13.74
"20" 1899-12-31 13.84
"21" 1900-12-31 13.92
"22" 1901-12-31 13.85
"23" 1902-12-31 13.76
"24" 1903-12-31 13.7
"25" 1904-12-31 13.66
"26" 1905-12-31 13.76
"27" 1906-12-31 13.81
"28" 1907-12-31 13.61
"29" 1908-12-31 13.67
"30" 1909-12-31 13.65
"31" 1910-12-31 13.67
"32" 1911-12-31 13.66
"33" 1912-12-31 13.68
"34" 1913-12-31 13.7
"35" 1914-12-31 13.85
"36" 1915-12-31 13.9
"37" 1916-12-31 13.7
"38" 1917-12-31 13.61
"39" 1918-12-31 13.67
"40" 1919-12-31 13.8
"41" 1920-12-31 13.81
"42" 1921-12-31 13.85
"43" 1922-12-31 13.74
"44" 1923-12-31 13.78
"45" 1924-12-31 13.78
"46" 1925-12-31 13.83
"47" 1926-12-31 13.98
"48" 1927-12-31 13.85
"49" 1928-12-31 13.87
"50" 1929-12-31 13.74
"51" 1930-12-31 13.92
"52" 1931-12-31 13.98
"53" 1932-12-31 13.92
"54" 1933-12-31 13.81
"55" 1934-12-31 13.93
"56" 1935-12-31 13.88
"57" 1936-12-31 13.95
"58" 1937-12-31 14.07
"59" 1938-12-31 14.1
"60" 1939-12-31 14.01
"61" 1940-12-31 14.04
"62" 1941-12-31 14.1
"63" 1942-12-31 14.03
"64" 1943-12-31 14.09
"65" 1944-12-31 14.19
"66" 1945-12-31 14.06
"67" 1946-12-31 13.95
"68" 1947-12-31 14
"69" 1948-12-31 13.96
"70" 1949-12-31 13.93
"71" 1950-12-31 13.84
"72" 1951-12-31 13.96
"73" 1952-12-31 14.03
"74" 1953-12-31 14.11
"75" 1954-12-31 13.9
"76" 1955-12-31 13.9
"77" 1956-12-31 13.83
"78" 1957-12-31 14.08
"79" 1958-12-31 14.08
"80" 1959-12-31 14.06
"81" 1960-12-31 13.99
"82" 1961-12-31 14.07
"83" 1962-12-31 14.04
"84" 1963-12-31 14.08
"85" 1964-12-31 13.79
"86" 1965-12-31 13.89
"87" 1966-12-31 13.97
"88" 1967-12-31 13.99
"89" 1968-12-31 13.96
"90" 1969-12-31 14.08
"91" 1970-12-31 14.03
"92" 1971-12-31 13.9
"93" 1972-12-31 14
"94" 1973-12-31 14.14
"95" 1974-12-31 13.92
"96" 1975-12-31 13.95
"97" 1976-12-31 13.84
"98" 1977-12-31 14.12
"99" 1978-12-31 14.01
"100" 1979-12-31 14.08
"101" 1980-12-31 14.19
"102" 1981-12-31 14.26
"103" 1982-12-31 14.04
"104" 1983-12-31 14.25
"105" 1984-12-31 14.09
"106" 1985-12-31 14.04
"107" 1986-12-31 14.12
"108" 1987-12-31 14.27
"109" 1988-12-31 14.31
"110" 1989-12-31 14.19
"111" 1990-12-31 14.36
"112" 1991-12-31 14.35
"113" 1992-12-31 14.13
"114" 1993-12-31 14.13
"115" 1994-12-31 14.23
"116" 1995-12-31 14.37
"117" 1996-12-31 14.29
"118" 1997-12-31 14.39
"119" 1998-12-31 14.56
"120" 1999-12-31 14.32
"121" 2000-12-31 14.33
"122" 2001-12-31 14.47
"123" 2002-12-31 14.56
"124" 2003-12-31 14.55
"125" 2004-12-31 14.48
"126" 2005-12-31 14.62
"127" 2006-12-31 14.55
"128" 2007-12-31 14.58
"129" 2008-12-31 14.44
"130" 2009-12-31 14.58
"131" 2010-12-31 14.63
